País,Sexo,Años,id_fuente,ids_notas,iso3,valor
Nicaragua,Hombres,2004,480,,NIC,32
Panamá,Hombres,2004,480,,PAN,19
Paraguay,Hombres,2004,480,,PRY,40
Perú,Hombres,2004,480,,PER,33
Uruguay,Hombres,2004,480,,URY,18
Venezuela (República Bolivariana de),Hombres,2004,480,,VEN,42
Argentina,Mujeres,2004,480,,ARG,38
Bolivia (Estado Plurinacional de),Mujeres,2004,480,,BOL,33
Brasil,Mujeres,2004,480,,BRA,28
Chile,Mujeres,2004,480,,CHL,32
Colombia,Mujeres,2004,480,,COL,22
Costa Rica,Mujeres,2004,480,,CRI,37
República Dominicana,Mujeres,2004,480,,DOM,34
Ecuador,Mujeres,2004,480,,ECU,35
El Salvador,Mujeres,2004,480,,SLV,29
Guatemala,Mujeres,2004,480,,GTM,33
Honduras,Mujeres,2004,480,,HND,29
México,Mujeres,2004,480,,MEX,60
Nicaragua,Mujeres,2004,480,,NIC,32
Panamá,Mujeres,2004,480,,PAN,18
Paraguay,Mujeres,2004,480,,PRY,41
Perú,Mujeres,2004,480,,PER,33
Uruguay,Mujeres,2004,480,,URY,19
Venezuela (República Bolivariana de),Mujeres,2004,480,,VEN,44
Argentina,Ambos sexos,2005,480,,ARG,42
Bolivia (Estado Plurinacional de),Ambos sexos,2005,480,,BOL,45
Brasil,Ambos sexos,2005,480,,BRA,45
Chile,Ambos sexos,2005,480,,CHL,39
Colombia,Ambos sexos,2005,480,,COL,37
Costa Rica,Ambos sexos,2005,480,,CRI,45
República Dominicana,Ambos sexos,2005,480,,DOM,31
Ecuador,Ambos sexos,2005,480,,ECU,52
El Salvador,Ambos sexos,2005,480,,SLV,34
Guatemala,Ambos sexos,2005,480,,GTM,40
Honduras,Ambos sexos,2005,480,,HND,32
México,Ambos sexos,2005,480,,MEX,67
Nicaragua,Ambos sexos,2005,480,,NIC,37
Panamá,Ambos sexos,2005,480,,PAN,21
Paraguay,Ambos sexos,2005,480,,PRY,39
Perú,Ambos sexos,2005,480,,PER,48
Uruguay,Ambos sexos,2005,480,,URY,39
Venezuela (República Bolivariana de),Ambos sexos,2005,480,,VEN,49
Argentina,Hombres,2005,480,,ARG,42
Bolivia (Estado Plurinacional de),Hombres,2005,480,,BOL,49
Brasil,Hombres,2005,480,,BRA,41
Chile,Hombres,2005,480,,CHL,39
Colombia,Hombres,2005,480,,COL,39
Costa Rica,Hombres,2005,480,,CRI,46
República Dominicana,Hombres,2005,480,,DOM,31
Ecuador,Hombres,2005,480,,ECU,53
El Salvador,Hombres,2005,480,,SLV,36
Guatemala,Hombres,2005,480,,GTM,39
Honduras,Hombres,2005,480,,HND,34
México,Hombres,2005,480,,MEX,70
Nicaragua,Hombres,2005,480,,NIC,39
Panamá,Hombres,2005,480,,PAN,20
Paraguay,Hombres,2005,480,,PRY,39
Perú,Hombres,2005,480,,PER,49
